update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
147,301056,-3.6125,0.0,0.0,0.0,-0.004582,5.375649,0.900885
148,303104,-4.295,0.0,0.0,0.0,-0.002328,7.303676,0.914073
149,305152,-5.325,0.0,0.0,0.0,-0.003876,8.519012,0.930432
150,307200,-5.375,0.16667,661.25142,3033333.33333,-0.001828,5.674961,0.906608
151,309248,-4.71,0.0,0.0,0.0,-0.003353,7.630361,0.917601
152,311296,-3.9875,0.0,0.0,0.0,-0.001952,7.902543,0.916183
153,313344,-6.15,0.0,0.0,0.0,-0.004977,7.843169,0.907296
154,315392,-7.18,0.0,0.0,0.0,-0.001406,6.940579,0.898456
155,317440,-5.6575,0.0,0.0,0.0,-0.002943,7.646549,0.915439
156,319488,-4.1875,0.0,0.0,0.0,-0.004393,7.253495,0.960004
157,321536,-6.6475,0.0,0.0,0.0,-0.003924,7.488193,0.92359
158,323584,-8.5675,0.0,0.0,0.0,-0.002789,9.424883,0.946173
159,325632,-4.365,0.0,0.0,0.0,-0.007627,9.999799,0.939337
160,327680,-6.7475,0.06667,246.95045,3200000.0,-0.002301,7.591323,0.95641
161,329728,-5.7575,0.0,0.0,0.0,-0.002816,7.728457,0.923462
162,331776,-4.745,0.0,0.0,0.0,-0.002288,7.994224,0.929356
163,333824,-7.61,0.0,0.0,0.0,-0.003638,7.894545,0.92296
164,335872,-3.0975,0.0,0.0,0.0,-0.004598,7.980374,0.946405
165,337920,-7.0525,0.0,0.0,0.0,-0.005619,8.022562,0.938695
166,339968,-5.1,0.0,0.0,0.0,-0.005927,9.287249,0.938675
167,342016,-3.8025,0.0,0.0,0.0,-0.004232,9.014784,0.933857
168,344064,-3.6925,0.0,0.0,0.0,-0.006101,9.226747,0.956385
169,346112,-4.06,0.0,0.0,0.0,-0.004538,8.575736,0.922983
170,348160,-6.4825,0.33333,1111.92356,4320624.5059,-0.007101,8.420064,0.916819
171,350208,-5.86,0.0,0.0,0.0,-0.005225,8.077107,0.921196
172,352256,-5.5325,0.0,0.0,0.0,-0.002688,6.204355,0.895388
173,354304,-4.9975,0.0,0.0,0.0,-0.003239,7.302108,0.925164
174,356352,-5.2025,0.0,0.0,0.0,-0.002716,8.162513,0.908494
